name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;380;0;403;3081;1522;3081;1430;0
header;211;108;211;149;1853;149;1853;108
A;1019;170;1019;199;1043;199;1043;170
B;506;184;506;201;515;201;515;184
B;1021;845;1021;875;1042;875;1042;845
C;1019;1516;1019;1545;1040;1545;1040;1516
A;1190;1767;1190;1794;1205;1794;1205;1767
A;1218;2015;1218;2027;1225;2027;1225;2015
A;1486;2060;1486;2072;1493;2072;1493;2060
A;1419;2139;1419;2147;1427;2147;1427;2139
D;1022;2185;1022;2213;1042;2213;1042;2185
A;1304;2186;1304;2194;1311;2194;1311;2186
A;1315;2406;1315;2432;1329;2432;1329;2406
