name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;244;0;428;3087;1865;3087;1700;0
header;238;102;238;140;1889;140;1889;102
A;1043;167;1043;195;1064;195;1064;167
A;1418;233;1418;243;1424;243;1424;233
A;1511;357;1511;361;1516;361;1516;357
B;1047;831;1047;861;1069;861;1069;831
D;1580;1082;1580;1105;1604;1105;1604;1082
C;1042;1499;1042;1527;1063;1527;1063;1499
B;925;1817;925;1836;940;1836;940;1817
A;1783;1819;1783;1824;1790;1824;1790;1819
D;1045;2166;1045;2194;1065;2194;1065;2166
D;1371;2403;1371;2428;1400;2428;1400;2403
D;1687;2540;1687;2564;1717;2564;1717;2540
B;893;2727;893;2746;907;2746;907;2727
A;1434;2830;1434;2842;1440;2842;1440;2830
